ORDER,UserLanguage,Consent1,Consent2,Consent3,Consent4,Consent5,T_Consent_First Click,T_Consent_Last Click,T_Consent_Page Submit,T_Consent_Click Count,Prolific_ID,T_Prolific_ID_First Click,T_Prolific_ID_Last Click,T_Prolific_ID_Page Submit,T_Prolific_ID_Click Count,T_Gen_Ins_First Click,T_Gen_Ins_Last Click,T_Gen_Ins_Page Submit,T_Gen_Ins_Click Count,Age,Gender,Nationality,Nationality_3_TEXT,English,English_2_TEXT,City,Profession,Football_1,T_Dem_First Click,T_Dem_Last Click,T_Dem_Page Submit,T_Dem_Click Count,GENERATION_FACTOR,GENERATION_NUMERIC,CHAIN,CHAIN_NUM,CONDITION,INDIVIDUAL,T_READING,T_RECALL,RECALL,PRE_RECALL,RECALL_QUALITATIVE
2,EN-GB,YES,YES,YES,YES,YES,14.97,27.802,28.91,5,5aeb19f123e2ca0001973cad,1.972,4.228,6.137,3,0,0,16.899,0,30,Male,UK,,Yes,,Wolverhampton,Web Designer,7,1.849,108.216,108.931,7,F1,1,CH9,9,B,JAMES,74.84,92.905,7,6,He is an average player and his teammates don't have strong opinions about him either way. He doesn't hold much influence over his teammates and only received a small number of votes to be captain. His closest friends enjoy his company but overall he isn't particularly popular.
2,EN-GB,YES,YES,YES,YES,YES,11.105,21.691,23.452,5,5ab9b5b147a9f7000153b64a,8.254,8.254,11.682,1,0,0,11.268,0,60,Female,UK,,Yes,,LIVERPOOL,district nurse,4,1.736,33.16,34.818,10,F2,2,CH9,9,B,JAMES,10.046,140.334,2,2,James is liked by his team mates. He did not get a unanimous vote to be captain. although he is liked by his team mates there are some that do not like him as much. He is not very popular to be invited to social events. He does have eye contact with his team mates.
2,EN-GB,YES,YES,YES,YES,YES,3.175,19.867,22.128,6,59ca00dd81eacc000137f6fe,2.097,4.825,5.127,2,0,0,7.19,0,21,Female,UK,,Yes,,Bournemouth,Student ,7,2.887,15.915,16.548,5,F3,3,CH9,9,B,JAMES,9.319,68.457,1,1,James was unanimously voted as captain. He is liked but there are some people who do not like him. He isn't really invited to social events. James has eye contact with his team-mates. 
2,EN-GB,YES,YES,YES,YES,YES,2.565,31.462,33.03,40,  5713e3c44cfd6f0013aa74d0  ,5.294,58.91,60.292,7,2.278,3.055,4.326,5,58,Female,UK,,Yes,,london,sales supervisor,4,2.883,41.726,43.411,35,F4,4,CH9,9,B,JAMES,12.987,61.751,1,1,James was liked a bit he was voted for too.
3,EN-GB,YES,YES,YES,YES,YES,14.97,27.802,28.91,5,5aeb19f123e2ca0001973cad,1.972,4.228,6.137,3,0,0,16.899,0,30,Male,UK,,Yes,,Wolverhampton,Web Designer,7,1.849,108.216,108.931,7,F1,1,CH9,9,B,BILL,35.853,104.196,8,7,"He is not a nice person and his teammates are afraid of him. He's violent, having injured teammates in training previously, and he's egotistical, having elected himself captain without the support of his teammates. His teammates listen to him but only out of fear, and as such don't like making eye contact with him."
3,EN-GB,YES,YES,YES,YES,YES,11.105,21.691,23.452,5,5ab9b5b147a9f7000153b64a,8.254,8.254,11.682,1,0,0,11.268,0,60,Female,UK,,Yes,,LIVERPOOL,district nurse,4,1.736,33.16,34.818,10,F2,2,CH9,9,B,BILL,9.957,62.239,3,3,Bill is not very popular. He is aggressive in his manner. He is not a popular captain of the team. He does not maintain eye contact with his team mates and he is not invited to social events.
3,EN-GB,YES,YES,YES,YES,YES,3.175,19.867,22.128,6,59ca00dd81eacc000137f6fe,2.097,4.825,5.127,2,0,0,7.19,0,21,Female,UK,,Yes,,Bournemouth,Student ,7,2.887,15.915,16.548,5,F3,3,CH9,9,B,BILL,4.778,61.875,1,1,Bill was not unanimously voted as captain. Not a lot of people like Bill. He shouts a lot. Bill is not invited to social events. 
3,EN-GB,YES,YES,YES,YES,YES,2.565,31.462,33.03,40,  5713e3c44cfd6f0013aa74d0  ,5.294,58.91,60.292,7,2.278,3.055,4.326,5,58,Female,UK,,Yes,,london,sales supervisor,4,2.883,41.726,43.411,35,F4,4,CH9,9,B,BILL,4.997,61.933,1,1,"bill was not liked, he was not voted for, he shouts a lot. "
1,EN-GB,YES,YES,YES,YES,YES,58.011,64.836,65.593,7,5ceec6c49b21a9001b2e38a3,3.846,3.846,6.455,1,0,0,8.352,0,34,Male,UK,,Yes,,Guildford,Unemployed,4,1.196,21.656,22.524,8,F1,1,CH10,10,B,JOHN,31.043,73.077,9,8,John is a highly skilled player on the team. John is very popular. People fix their eyes on John when he talks in team meetings and listen to him. John is modest about his skills and takes other players wishes into account. John is frequently invited to parties because people want to spend time with him.
1,EN-GB,YES,YES,YES,YES,YES,0.718,34.591,35.542,24,5cde01d031fef5000106a95d,2.853,2.853,4.401,1,2.643,19.44,30.178,6,20,Female,UK,,Yes,,Guildford,Bartender,2,1.608,36.678,37.184,24,F2,2,CH10,10,B,JOHN,12.93,124.444,6,5,John is a good player. People fix their eyes on John when he is playing. People listen to John when he is speaking at team meetings. John is frequently invited to parties because John is very popular.
1,EN-GB,YES,YES,YES,YES,YES,5.743,58.125,58.994,32,5cab415b4504400001ed1b30,2.405,7.35,8.325,2,10.993,10.993,24.911,1,41,Male,UK,,Yes,,Nottingham,mortgage broker,7,3.001,38.569,39.661,12,F3,3,CH10,10,B,JOHN,9.491,75.502,6,5,"John is  good footballer, people listen to him at team meetings and he gets invited out to parties as people like him."
1,EN-GB,YES,YES,YES,YES,YES,1.893,99.46,100.711,14,5dcb1190e263317f36a01dcc,7.07,40.954,44.923,4,2.965,6.042,7.012,3,50,Female,UK,,Yes,,Chichester ,Gardener,1,0.944,35.48,36.51,19,F4,4,CH10,10,B,JOHN,6.998,66.851,4,4,"Friendly, good at football, people like him and listen to him. He gets invited to things."
2,EN-GB,YES,YES,YES,YES,YES,58.011,64.836,65.593,7,5ceec6c49b21a9001b2e38a3,3.846,3.846,6.455,1,0,0,8.352,0,34,Male,UK,,Yes,,Guildford,Unemployed,4,1.196,21.656,22.524,8,F1,1,CH10,10,B,JAMES,23.537,76.818,10,8,"James is a moderately skilled player on the team, scoring only a few goals the year before. James is neither popular or disliked. People don't fix their eyes on James when he talks in team meetings and don't really listen to him. He wanted to be captain but only got 2 votes. James is modest about his skills and takes other players wishes into account. James is occasionally invited to parties because people want to spend time with him."
2,EN-GB,YES,YES,YES,YES,YES,0.718,34.591,35.542,24,5cde01d031fef5000106a95d,2.853,2.853,4.401,1,2.643,19.44,30.178,6,20,Female,UK,,Yes,,Guildford,Bartender,2,1.608,36.678,37.184,24,F2,2,CH10,10,B,JAMES,23.328,120.483,4,3,James is an average footballer. He is neither better nor worse than the other players. People don't really fix their eyes on James or pay attention to him when he speaks up at team meetings. James isn't invited to parties much because no one knows him.
2,EN-GB,YES,YES,YES,YES,YES,5.743,58.125,58.994,32,5cab415b4504400001ed1b30,2.405,7.35,8.325,2,10.993,10.993,24.911,1,41,Male,UK,,Yes,,Nottingham,mortgage broker,7,3.001,38.569,39.661,12,F3,3,CH10,10,B,JAMES,11.744,63.647,1,3,"James is an average football player, not better or worse than most. People dont listen to him at team meetings and he is not invited to parties as people dont know him."
2,EN-GB,YES,YES,YES,YES,YES,1.893,99.46,100.711,14,5dcb1190e263317f36a01dcc,7.07,40.954,44.923,4,2.965,6.042,7.012,3,50,Female,UK,,Yes,,Chichester ,Gardener,1,0.944,35.48,36.51,19,F4,4,CH10,10,B,JAMES,6.429,60.838,2,1,"Not as good at football, quite shy and quiet. People don’t know him so he doesn’t get invited to things very often."
3,EN-GB,YES,YES,YES,YES,YES,58.011,64.836,65.593,7,5ceec6c49b21a9001b2e38a3,3.846,3.846,6.455,1,0,0,8.352,0,34,Male,UK,,Yes,,Guildford,Unemployed,4,1.196,21.656,22.524,8,F1,1,CH10,10,B,BILL,23.537,61.729,8,7,"Bill is a bad player on the team. Bill is not popular, people fear him because of his anger and aggression. People fix their eyes on Bill when he talks in team meetings and listen to him. Bill is arrogant about his skills and does not take other players wishes into account. Bill is frequently invited to parties but only because people are afraid of him."
3,EN-GB,YES,YES,YES,YES,YES,0.718,34.591,35.542,24,5cde01d031fef5000106a95d,2.853,2.853,4.401,1,2.643,19.44,30.178,6,20,Female,UK,,Yes,,Guildford,Bartender,2,1.608,36.678,37.184,24,F2,2,CH10,10,B,BILL,23.328,74.242,5,4,Bill Is a bad footballer and is very angry and aggressive. People fear him on the pitch but pay attention to him at team meetings. They dislike him but he gets invited to parties because they are scared of him.
3,EN-GB,YES,YES,YES,YES,YES,5.743,58.125,58.994,32,5cab415b4504400001ed1b30,2.405,7.35,8.325,2,10.993,10.993,24.911,1,41,Male,UK,,Yes,,Nottingham,mortgage broker,7,3.001,38.569,39.661,12,F3,3,CH10,10,B,BILL,11.744,68.364,4,4,"Bill is a bad football player, people do listen to him at  team meetings as they are afraid of him, he is also invited to parties as people are scared of him."
3,EN-GB,YES,YES,YES,YES,YES,1.893,99.46,100.711,14,5dcb1190e263317f36a01dcc,7.07,40.954,44.923,4,2.965,6.042,7.012,3,50,Female,UK,,Yes,,Chichester ,Gardener,1,0.944,35.48,36.51,19,F4,4,CH10,10,B,BILL,6.429,60.745,4,3,Bill is very direct. People listen to him. He is a bad football player. He gets invited to things but it’s because people are scared of him.
1,EN-GB,YES,YES,YES,YES,YES,16.334,33.812,35.098,7,5935252379f3ab0001635067,1.884,5.636,7.122,2,0,0,16.132,0,35,Male,UK,,Yes,,Bradford,Homemaker,2,2.65,36.672,38.214,14,F1,1,CH11,11,C,BILL,46.812,87.71,6,5,"Bill is a bully. He gets invited to parties because people are scared of him. he assaulted 2 team mates on the pitch last year, he bullied his way to becoming team captain,"
1,EN-GB,YES,YES,YES,YES,YES,9.121,15.952,16.867,5,5bf541b292ddb60001d0299e,4.556,5.988,6.515,3,0,0,3.634,0,32,Female,UK,,Yes,,Nottingham,Credit Controller,3,0.978,17.808,19.6,9,F2,2,CH11,11,C,BILL,4.633,65.656,5,3,Bill is a bully. People are scared of him. People invite him to parties because they are scared of him. He bullies people into voting for him to be captain.
1,EN-GB,YES,YES,YES,YES,YES,1.324,17.625,18.328,11,5ac88eb8f69e940001d99f9f,1.985,5.505,7.256,3,1.964,6.98,8.764,2,49,Female,UK,,Yes,,Farnborough ,Housewife ,2,1.584,26.41,27.409,13,F3,3,CH11,11,C,BILL,5.938,63.726,3,2,"Bill is a bully. People vote for him to be captain as they are scared of him bullying them
"
1,EN-GB,YES,YES,YES,YES,YES,4.568,21.524,22.877,5,5d3986da5392760015df10e0,5.298,5.298,7.397,1,0,0,8.895,0,23,Female,UK,,Yes,,Berkshire,Junior Accoutant,4,1.326,24.762,25.873,11,F4,4,CH11,11,C,BILL,4.498,63.221,2,2,"Bill is a bully, he gets more votes because people are scared of him"
2,EN-GB,YES,YES,YES,YES,YES,16.334,33.812,35.098,7,5935252379f3ab0001635067,1.884,5.636,7.122,2,0,0,16.132,0,35,Male,UK,,Yes,,Bradford,Homemaker,2,2.65,36.672,38.214,14,F1,1,CH11,11,C,JOHN,39.6,70.868,9,7,"John is the best player on the team. people listen to him because they respect him. they made him captain because they like him, and they invite him to parties because they want to spend time with him."
2,EN-GB,YES,YES,YES,YES,YES,9.121,15.952,16.867,5,5bf541b292ddb60001d0299e,4.556,5.988,6.515,3,0,0,3.634,0,32,Female,UK,,Yes,,Nottingham,Credit Controller,3,0.978,17.808,19.6,9,F2,2,CH11,11,C,JOHN,5.09,66.347,6,3,John is well liked. People invite him to parties because he is well liked. He is a talented and skilled footballer. People vote for him because they like him.
2,EN-GB,YES,YES,YES,YES,YES,1.324,17.625,18.328,11,5ac88eb8f69e940001d99f9f,1.985,5.505,7.256,3,1.964,6.98,8.764,2,49,Female,UK,,Yes,,Farnborough ,Housewife ,2,1.584,26.41,27.409,13,F3,3,CH11,11,C,JOHN,6.444,62.399,1,0,John is nice. His friends invite him to parties as they like him. He gets votes for captain from his friends as they like him too 
2,EN-GB,YES,YES,YES,YES,YES,4.568,21.524,22.877,5,5d3986da5392760015df10e0,5.298,5.298,7.397,1,0,0,8.895,0,23,Female,UK,,Yes,,Berkshire,Junior Accoutant,4,1.326,24.762,25.873,11,F4,4,CH11,11,C,JOHN,5.564,66.747,2,1,John is nice. His friends like him and invite him to parties. He gets lots of votes from people
3,EN-GB,YES,YES,YES,YES,YES,16.334,33.812,35.098,7,5935252379f3ab0001635067,1.884,5.636,7.122,2,0,0,16.132,0,35,Male,UK,,Yes,,Bradford,Homemaker,2,2.65,36.672,38.214,14,F1,1,CH11,11,C,JAMES,44.38,85.412,9,7,"James is average. modest about his abilities, but not popular or good enough to get more than 2 votes to become team captain. Close friends invite him to parties because they want to spend time with him."
3,EN-GB,YES,YES,YES,YES,YES,9.121,15.952,16.867,5,5bf541b292ddb60001d0299e,4.556,5.988,6.515,3,0,0,3.634,0,32,Female,UK,,Yes,,Nottingham,Credit Controller,3,0.978,17.808,19.6,9,F2,2,CH11,11,C,JAMES,5.713,64.763,6,4,James is average. He gets no more than 2 votes for captain. Close friends invite him to parties because they like to spend time with him.
3,EN-GB,YES,YES,YES,YES,YES,1.324,17.625,18.328,11,5ac88eb8f69e940001d99f9f,1.985,5.505,7.256,3,1.964,6.98,8.764,2,49,Female,UK,,Yes,,Farnborough ,Housewife ,2,1.584,26.41,27.409,13,F3,3,CH11,11,C,JAMES,5.135,61.093,6,4,James is average. His friends invite him to parties as they like him. He only gets two votes for captain of his team 
3,EN-GB,YES,YES,YES,YES,YES,4.568,21.524,22.877,5,5d3986da5392760015df10e0,5.298,5.298,7.397,1,0,0,8.895,0,23,Female,UK,,Yes,,Berkshire,Junior Accoutant,4,1.326,24.762,25.873,11,F4,4,CH11,11,C,JAMES,4.809,66.163,5,4,"James is average. He gets most invited by his friends as he is liked by them, but he only gets 2 votes."
1,EN-GB,YES,YES,YES,YES,YES,12.4,25.759,26.549,9,5b605eb241eac20001466529,1.572,4.044,5.025,2,7.578,7.578,10.858,1,33,Female,UK,,Yes,,Exeter,Volunteer,2,2.011,25.831,27.38,12,F1,1,CH12,12,C,BILL,17.33,64.88,6,5,Bill is quite a violent person. He isn't very popular. He made himself head of the football team against everybody's wishes. Other players are scared of him. He doesn't socialise much with the other players. He injured two players in the last match
1,EN-GB,YES,YES,YES,YES,YES,1.049,18.701,19.472,14,5cdeaec4f45dda0001820e77,1.602,1.602,2.834,1,6.641,6.641,12.611,1,46,Female,UK,,Yes,,Liverpool ,Optical advisor ,5,1.833,23.093,24.192,14,F2,2,CH12,12,C,BILL,12.083,72.756,5,4,Bill  is quite violent.  He has made himself team captain even know he is not liked. He has injured players 
1,EN-GB,YES,YES,YES,YES,YES,679.794,694.722,700.137,7,5d15f79acc08a30019744de2,4.095,4.095,10.009,1,0,0,11.464,0,31,Female,UK,,Yes,,Southampton,unemployed,2,2.064,35.393,37.068,10,F3,3,CH12,12,C,BILL,9.59,64.093,5,4,Bill is violent and has injured other players. He voted himself team captain even though he is not liked.
1,EN-GB,YES,YES,YES,YES,YES,2.158,24.3,25.083,12,5c408b429deb300001e37556,3.407,9.871,12.937,3,1.837,51.025,52.459,7,45,Female,UK,,Yes,,London,Marketing Manager,5,1.612,27.682,28.793,18,F4,4,CH12,12,C,BILL,3.623,61.825,5,4,Not well liked. Hurts other players on the pitch. Violent. Voted himself as captain. 
2,EN-GB,YES,YES,YES,YES,YES,12.4,25.759,26.549,9,5b605eb241eac20001466529,1.572,4.044,5.025,2,7.578,7.578,10.858,1,33,Female,UK,,Yes,,Exeter,Volunteer,2,2.011,25.831,27.38,12,F1,1,CH12,12,C,JOHN,18.595,63.489,3,3,John is very popular. People want to be like John and copy him. He seems very influential. He is very social and is at a lot of the club functions. He was made team captain due to his popularity.
